iter	Logloss
0	0.6139623598
1	0.5680653734
2	0.540611359
3	0.5227380166
4	0.511297706
5	0.5036803069
6	0.4990924615
7	0.4951006395
8	0.4926346817
9	0.4908893745
10	0.4892640189
11	0.4879841697
12	0.4869016484
13	0.4860754808
14	0.4854460599
15	0.4850715961
16	0.4846439978
17	0.4839786117
18	0.4835654739
19	0.4833735803
20	0.48314054
21	0.4828543565
22	0.4825041558
23	0.4823350451
24	0.4820872013
25	0.4816804902
26	0.4815032045
27	0.4813993895
28	0.4810212406
29	0.4807661736
30	0.4805522198
31	0.4804082481
32	0.480302593
33	0.4801634809
34	0.4799013994
35	0.479710131
36	0.4795751511
37	0.4794002412
38	0.4792859607
39	0.4792109075
40	0.4790064774
41	0.4788446469
42	0.4786757229
43	0.4785455766
44	0.478263277
45	0.4781487874
46	0.4780201541
47	0.4778649501
48	0.4777835884
49	0.4775606616
50	0.4774473268
51	0.4772868834
52	0.4771790093
53	0.4769567188
54	0.4767023193
55	0.4765345381
56	0.4764228763
57	0.4762663243
58	0.4761423463
59	0.475954479
60	0.4758338504
61	0.4756002356
62	0.4754330647
63	0.4752482925
64	0.4750487512
65	0.4748721076
66	0.4745927154
67	0.4744702466
68	0.4743822063
69	0.4741301039
70	0.4740410214
71	0.4738969608
72	0.4736817851
73	0.473496079
74	0.4734209916
75	0.4732586424
76	0.4730981705
77	0.4728572008
78	0.472639841
79	0.4724811212
80	0.4723505161
81	0.4722654332
82	0.4721859962
83	0.4721047958
84	0.4720176625
85	0.4719427447
86	0.4718700457
87	0.471734286
88	0.4716571309
89	0.4715563772
90	0.4714521043
91	0.4712389114
92	0.4711170955
93	0.47100563
94	0.4708815514
95	0.4707598978
96	0.4706281648
97	0.4705127512
98	0.4704050001
99	0.4702564823
