iter	Passed	Remaining
0	27	2739
1	52	2550
2	77	2518
3	102	2465
4	130	2473
5	154	2424
6	178	2369
7	205	2365
8	235	2377
9	261	2357
10	287	2326
11	314	2305
12	345	2312
13	371	2282
14	400	2271
15	432	2268
16	459	2244
17	486	2216
18	512	2184
19	538	2152
20	564	2122
21	589	2089
22	618	2070
23	644	2040
24	670	2011
25	697	1985
26	724	1958
27	748	1924
28	776	1901
29	806	1882
30	831	1850
31	856	1820
32	886	1799
33	915	1777
34	943	1752
35	969	1722
36	995	1694
37	1019	1663
38	1045	1635
39	1068	1602
40	1097	1579
41	1123	1551
42	1148	1523
43	1174	1494
44	1203	1471
45	1229	1443
46	1254	1414
47	1278	1384
48	1302	1356
49	1329	1329
50	1355	1301
51	1380	1274
52	1406	1246
53	1436	1223
54	1464	1197
55	1487	1168
56	1512	1141
57	1537	1113
58	1563	1086
59	1591	1060
60	1616	1033
61	1644	1007
62	1670	981
63	1695	953
64	1725	929
65	1750	901
66	1777	875
67	1803	848
68	1827	821
69	1853	794
70	1876	766
71	1902	739
72	1932	714
73	1957	687
74	1981	660
75	2006	633
76	2033	607
77	2062	581
78	2090	555
79	2118	529
80	2143	502
81	2169	476
82	2193	449
83	2215	422
84	2239	395
85	2266	368
86	2290	342
87	2315	315
88	2338	288
89	2367	263
90	2395	236
91	2423	210
92	2450	184
93	2475	158
94	2502	131
95	2527	105
96	2554	79
97	2582	52
98	2607	26
99	2635	0
